Date,Open,High,Low,Close,Adj Close,Volume,highorlow,isIncreseing
30-06-2016,8260.25,8308.150391,8242.099609,8287.75,8287.75,279400,-15.299804,0
01-07-2016,8313.049805,8356.75,8308.650391,8328.349609,8328.349609,165500,6.049805,1
04-07-2016,8376.75,8398.450195,8364.700195,8370.700195,8370.700195,154200,43.34961,1
05-07-2016,8379.299805,8381.450195,8319.950195,8335.950195,8335.950195,139000,4.099609,1
07-07-2016,8342,8361.950195,8317.700195,8337.900391,8337.900391,155500,26.799805,1
08-07-2016,8350,8353.299805,8287.549805,8323.200195,8323.200195,137900,-54.550782,0
11-07-2016,8413.349609,8475.25,8407.049805,8467.900391,8467.900391,149800,-18.450196,0
12-07-2016,8502.599609,8526.599609,8479.200195,8521.049805,8521.049805,183600,20.950195,1
13-07-2016,8540.450195,8550.25,8493.549805,8519.5,8519.5,195500,-49.25,0
14-07-2016,8515.75,8571.400391,8500.700195,8565,8565,153900,24.049804,1
15-07-2016,8565.450195,8594.799805,8510.049805,8541.400391,8541.400391,221700,55.34961,1
18-07-2016,8564.049805,8587.099609,8494.349609,8508.700195,8508.700195,164300,-14.25,0
19-07-2016,8514.299805,8540.049805,8476.700195,8528.549805,8528.549805,167900,-50.399414,0
20-07-2016,8515.450195,8569.900391,8512.549805,8565.849609,8565.849609,160300,72.600586,1
21-07-2016,8582.700195,8585.25,8503.450195,8510.099609,8510.099609,150000,-21.549804,0
22-07-2016,8519.650391,8548.950195,8489.799805,8541.200195,8541.200195,143200,-115.700196,0
25-07-2016,8519.950195,8641.150391,8517.200195,8635.650391,8635.650391,150000,43.099609,1
26-07-2016,8633.75,8644.900391,8577.150391,8590.650391,8590.650391,154800,-16.399414,0
27-07-2016,8599.400391,8665,8572.049805,8615.799805,8615.799805,184100,-29.34961,0
28-07-2016,8636.950195,8674.700195,8625.25,8666.299805,8666.299805,233500,29.799805,1
29-07-2016,8668.299805,8670.349609,8631.150391,8638.5,8638.5,157000,17.75,1
01-08-2016,8654.299805,8711.299805,8590.5,8636.549805,8636.549805,188400,24.549804,1
02-08-2016,8647.450195,8687.200195,8611.400391,8622.900391,8622.900391,169400,90.350586,1
03-08-2016,8635.200195,8635.450195,8529.599609,8544.849609,8544.849609,163000,48.850586,1
04-08-2016,8599.950195,8601.400391,8518.150391,8551.099609,8551.099609,164700,-82.950196,0
05-08-2016,8600.200195,8689.400391,8590.150391,8683.150391,8683.150391,157900,1.5,1
08-08-2016,8712.849609,8723.5,8697.599609,8711.349609,8711.349609,172600,49.549805,1
09-08-2016,8727.799805,8728.349609,8638.200195,8678.25,8678.25,200100,111.40039,1
10-08-2016,8686.700195,8690.099609,8564.599609,8575.299805,8575.299805,173600,-19.350586,0
11-08-2016,8572.799805,8601.150391,8540.049805,8592.150391,8592.150391,189200,27.700195,1
16-08-2016,8670.25,8682.349609,8600.450195,8642.549805,8642.549805,224800,15.75,1
17-08-2016,8639.799805,8667.099609,8603.599609,8624.049805,8624.049805,174100,-24.400391,0
18-08-2016,8648.849609,8690.700195,8645.049805,8673.25,8673.25,164300,27.399414,1
19-08-2016,8694.299805,8696.599609,8647.099609,8666.900391,8666.900391,191900,37.849609,1
22-08-2016,8667,8684.849609,8614,8629.150391,8629.150391,152300,-4.25,0
23-08-2016,8628.349609,8642.150391,8580,8632.599609,8632.599609,187500,-1.799805,0
24-08-2016,8648.5,8661.049805,8620.900391,8650.299805,8650.299805,149600,76.649414,1
25-08-2016,8668.849609,8683.049805,8583.650391,8592.200195,8592.200195,213100,41.799804,1
26-08-2016,8614.349609,8622.950195,8547.549805,8572.549805,8572.549805,147500,-23.700195,0
29-08-2016,8583.75,8622,8543.75,8607.450195,8607.450195,129700,-97.599609,0
30-08-2016,8646.75,8750.599609,8642.25,8744.349609,8744.349609,150200,-32.15039,0
31-08-2016,8754.049805,8819.200195,8754.049805,8786.200195,8786.200195,362200,18.949218,1
01-09-2016,8793.599609,8813.25,8759.950195,8774.650391,8774.650391,238900,-13.300782,0
02-09-2016,8796.349609,8824.099609,8768.200195,8809.650391,8809.650391,191500,-90.299805,0
06-09-2016,8852.700195,8950.849609,8848.450195,8943,8943,195600,50.75,1
07-09-2016,8968.700195,8968.700195,8913.349609,8917.950195,8917.950195,290100,-37,0
08-09-2016,8915.5,8960.349609,8896,8952.5,8952.5,217200,67.59961,1
09-09-2016,8934.299805,8939.150391,8858.700195,8866.700195,8866.700195,175900,17.350586,1
12-09-2016,8732.950195,8746.950195,8699.400391,8715.599609,8715.599609,184500,-15.949218,0
14-09-2016,8710.650391,8739.849609,8688.900391,8726.599609,8726.599609,184300,1.299804,1
15-09-2016,8743.849609,8751.950195,8704.349609,8742.549805,8742.549805,145400,1,1
16-09-2016,8780.849609,8847.650391,8750.5,8779.849609,8779.849609,265800,-19.950196,0
19-09-2016,8788.450195,8824.299805,8774.200195,8808.400391,8808.400391,131700,40.199218,1
20-09-2016,8816.099609,8816.450195,8759.299805,8775.900391,8775.900391,136500,13.149414,1
21-09-2016,8790.299805,8826.849609,8757.299805,8777.150391,8777.150391,148800,5.899414,1
22-09-2016,8873.349609,8893.349609,8837.799805,8867.450195,8867.450195,172800,49.200195,1
23-09-2016,8880.75,8885.200195,8820.299805,8831.549805,8831.549805,185900,84.850586,1
26-09-2016,8807.900391,8809.549805,8715.099609,8723.049805,8723.049805,164000,42.5,1
27-09-2016,8748.900391,8768.5,8690.5,8706.400391,8706.400391,151400,-33.950196,0
28-09-2016,8711.200195,8767.049805,8703.150391,8745.150391,8745.150391,165500,201.450195,1
29-09-2016,8792.700195,8800.650391,8558.25,8591.25,8591.25,372900,-29.650391,0
30-09-2016,8581.5,8637.150391,8555.200195,8611.150391,8611.150391,181700,-71.949218,0
03-10-2016,8666.150391,8745.200195,8635,8738.099609,8738.099609,137300,0.849609,1
04-10-2016,8770,8783.650391,8736.099609,8769.150391,8769.150391,184300,62.399414,1
05-10-2016,8806.349609,8806.950195,8731.400391,8743.950195,8743.950195,157200,59.15039,1
06-10-2016,8768.700195,8781.150391,8684.650391,8709.549805,8709.549805,163600,24.100586,1
07-10-2016,8721.700195,8723.700195,8663.799805,8697.599609,8697.599609,150400,26.549804,1
10-10-2016,8735.349609,8745.799805,8703.950195,8708.799805,8708.799805,108400,98.150391,1
13-10-2016,8671.5,8681.549805,8541.349609,8573.349609,8573.349609,212300,10.599609,1
14-10-2016,8594,8604.450195,8549.799805,8583.400391,8583.400391,162800,92.549804,1
17-10-2016,8612.950195,8615.400391,8506.150391,8520.400391,8520.400391,197400,-121.850586,0
18-10-2016,8556.049805,8685.099609,8555.900391,8677.900391,8677.900391,216600,38.400391,1
19-10-2016,8697.5,8698.75,8636.700195,8659.099609,8659.099609,172100,-6.050782,0
20-10-2016,8693.349609,8727,8678.299805,8699.400391,8699.400391,161000,15.549804,1
21-10-2016,8708.599609,8709.099609,8652.049805,8693.049805,8693.049805,157300,0.899414,1
24-10-2016,8709.849609,8736.950195,8684.150391,8708.950195,8708.950195,157100,30.40039,1
25-10-2016,8721.700195,8722.650391,8663.450195,8691.299805,8691.299805,189800,42.049805,1
26-10-2016,8657.299805,8657.299805,8596.599609,8615.25,8615.25,219300,-8.150391,0
27-10-2016,8607.099609,8624.849609,8550.25,8615.25,8615.25,242800,-13,0
28-10-2016,8625,8653.75,8581.75,8638,8638,175500,26.900391,1
01-11-2016,8653.150391,8669.599609,8614.5,8626.25,8626.25,165000,28.799805,1
02-11-2016,8542.799805,8549.5,8504.849609,8514,8514,155300,14.899414,1
03-11-2016,8499.849609,8537.650391,8476.150391,8484.950195,8484.950195,170500,69.849609,1
04-11-2016,8503.599609,8504,8400.25,8433.75,8433.75,224800,38.700195,1
07-11-2016,8535.75,8535.849609,8481.450195,8497.049805,8497.049805,172800,-3.549805,0
08-11-2016,8540,8559.400391,8480.099609,8543.549805,8543.549805,195700,-364.5,0
09-11-2016,8067.5,8476.200195,8002.25,8432,8432,314300,29.849609,1
10-11-2016,8555.599609,8598.450195,8510.700195,8525.75,8525.75,263100,160.350586,1
11-11-2016,8456.650391,8460.599609,8284.950195,8296.299805,8296.299805,266900,176.399414,1
15-11-2016,8284.849609,8288.549805,8093.200195,8108.450195,8108.450195,359200,94.050293,1
16-11-2016,8205.650391,8210.049805,8089.399902,8111.600098,8111.600098,269500,25.149903,1
17-11-2016,8105.100098,8151.25,8060.299805,8079.950195,8079.950195,191300,23.449707,1
18-11-2016,8097.549805,8128.950195,8048.299805,8074.100098,8074.100098,161200,173,1
21-11-2016,8102.100098,8102.450195,7916.399902,7929.100098,7929.100098,218800,-13.149903,0
22-11-2016,7989.149902,8019.049805,7938.149902,8002.299805,8002.299805,210200,17.90039,1
23-11-2016,8051.200195,8055.200195,7973.100098,8033.299805,8033.299805,181000,46.299805,1
24-11-2016,8011.799805,8024.850098,7952.549805,7965.5,7965.5,260500,-106.34961,0
25-11-2016,8007.950195,8122.25,7976.75,8114.299805,8114.299805,177900,-46.25,0
28-11-2016,8080.649902,8146.5,8066.5,8126.899902,8126.899902,189700,-10.600097,0
29-11-2016,8131.549805,8197.349609,8128.700195,8142.149902,8142.149902,189700,-52.350098,0
30-11-2016,8172.149902,8234.25,8139.25,8224.5,8224.5,248000,51.099609,1
